NGC5846_S101,226.615250,1.687340,1746,19,4.92
NGC5846_S102,226.635890,1.705140,1922,12,6.03
NGC5846_S103,226.580030,1.667820,1610,15,4.50
NGC5846_S104,226.601130,1.684510,1941,17,4.90
NGC5846_S105,226.623070,1.701990,1805,23,5.78
NGC5846_S106,226.634740,1.715180,1806,18,6.62
NGC5846_S107,226.633840,1.731680,1494,8,7.60
NGC5846_S108,226.583220,1.713120,1600,10,6.86
NGC5846_S109,226.626370,1.743550,1512,56,8.28
NGC5846_S110,226.585110,1.718440,2198,39,7.12
NGC5846_S111,226.599880,1.730730,1829,6,7.62
NGC5846_S112,226.564040,1.706740,1334,18,6.99
NGC5846_S113,226.596520,1.733610,1765,24,7.83
NGC5846_S114,226.597040,1.745330,1576,16,8.52
NGC5846_S115,226.613150,1.623730,1738,32,1.21
NGC5846_S116,226.626320,1.595740,1617,25,0.65
NGC5846_S117,226.618170,1.587230,1495,14,1.13
NGC5846_S118,226.619960,1.589800,1621,20,0.96
NGC5846_S119,226.656090,1.617410,2061,9,2.16
NGC5846_S120,226.658130,1.623040,1678,17,2.40
NGC5846_S121,226.599460,1.589950,1374,27,1.65
NGC5846_S122,226.614420,1.600720,1905,7,0.54
NGC5846_S123,226.612800,1.599790,1803,16,0.65
NGC5846_S124,226.606000,1.618560,1717,21,1.23
NGC5846_S125,226.592860,1.616680,1655,23,1.87
NGC5846_S126,226.584140,1.626010,2261,23,2.58
NGC5846_S127,226.549460,1.610960,2050,22,4.36
NGC5846_S128,226.565570,1.624920,2088,15,3.58
NGC5846_S129,226.554010,1.620380,1828,24,4.17
NGC5846_S130,226.544130,1.625700,2061,16,4.82
NGC5846_S131,226.512940,1.609300,1867,15,6.55
NGC5846_S132,226.568890,1.649210,1509,22,4.12
NGC5846_S133,226.566600,1.648040,1572,38,4.19
NGC5846_S134,226.497690,1.602600,1851,26,7.46
NGC5846_S135,226.510670,1.615160,1516,17,6.70
NGC5846_S136,226.465260,1.593000,1991,27,9.43
NGC5846_S137,226.493090,1.620560,1328,25,7.78
NGC5846_S138,226.537430,1.659090,1728,11,6.00
NGC5846_S139,226.422080,1.588300,1466,77,12.04
NGC5846_S140,226.496060,1.640490,1767,16,7.84
NGC5846_S141,226.483710,1.632210,1410,9,8.45
NGC5846_S142,226.476540,1.651700,1928,21,9.15
NGC5846_S143,226.397150,1.621070,1506,56,13.52
NGC5846_S144,226.410080,1.630380,1944,20,12.80
NGC5846_S145,226.628000,1.618100,1432,9,0.83
NGC5846_S146,226.643250,1.622200,1553,19,1.62
NGC5846_S147,226.691810,1.535130,1268,17,5.95
NGC5846_S148,226.689880,1.540930,1839,21,5.62
NGC5846_S149,226.672540,1.552730,1444,19,4.39
NGC5846_S150,226.672740,1.561520,1727,31,4.03
NGC5846_S151,226.623460,1.552070,1646,12,3.21
NGC5846_S152,226.623890,1.555160,2328,17,3.03
NGC5846_S153,226.647520,1.574250,2051,15,2.43
NGC5846_S154,226.663670,1.594280,1407,18,2.59
NGC5846_S155,226.676090,1.606120,1892,18,3.24
NGC5846_S156,226.653710,1.598690,2180,16,1.95
NGC5846_S157,226.657590,1.609140,1908,25,2.14
NGC5846_S158,226.656010,1.611280,1728,34,2.07
NGC5846_S159,226.597800,1.624710,1775,18,1.85
NGC5846_S160,226.630590,1.653670,1899,20,2.93
NGC5846_S161,226.608960,1.666900,1625,33,3.76
NGC5846_S162,226.596020,1.669730,1427,15,4.15
NGC5846_S163,226.611640,1.688370,1128,20,5.00
NGC5846_S164,226.585890,1.672690,1860,16,4.57
NGC5846_S165,226.539520,1.718760,2111,23,8.40
NGC5846_S166,226.617810,1.488680,1581,9,7.02
NGC5846_S167,226.631020,1.510600,1502,14,5.73
NGC5846_S168,226.639860,1.525730,1716,16,4.91
NGC5846_S169,226.632210,1.521660,1801,23,5.07
NGC5846_S170,226.657430,1.551910,1856,12,3.86
NGC5846_S171,226.634280,1.540050,1652,15,4.00
NGC5846_S172,226.596730,1.526610,1717,30,4.98
NGC5846_S173,226.605120,1.551380,1764,36,3.41
NGC5846_S174,226.618830,1.563820,1839,10,2.52
NGC5846_S175,226.611520,1.583390,1668,45,1.48
NGC5846_S176,226.593600,1.575840,1532,14,2.47
NGC5846_S177,226.572300,1.586440,2301,17,3.20
NGC5846_S178,226.561750,1.579090,1728,23,3.95
NGC5846_S179,226.555240,1.579780,1312,24,4.29
NGC5846_S180,226.543740,1.573130,1373,18,5.08
NGC5846_S181,226.579460,1.599090,1921,15,2.58
NGC5846_S182,226.538320,1.570820,1586,13,5.44
NGC5846_S183,226.551900,1.593740,1791,13,4.27
NGC5846_S184,226.565310,1.623960,1647,26,3.57
